name_of_centre,location_of_centre,type_of_centre,owner,no_of_stalls,no_of_cooked_food_stalls,no_of_mkt_produce_stalls
Blk 36 Telok Blangah Rise,"Blk 36, Telok Blangah Rise, S(090036)",MHC,HDB,53,24,29
Blk 37A Teban Gardens Road,"Blk 37A, Teban Garden Road, S(601037)",MHC,HDB,80,28,52
Blk 409 Ang Mo Kio Ave 10,"Blk 409, Ang Mo Kio Ave 10, S(560409)",MHC,HDB,142,40,102
Blk 44 Holland Drive,"Blk 44, Holland Drive, S(270044)",MHC,HDB,106,45,61
Blk 448 Clementi Ave 3,"Blk 448, Clementi Ave 3, S(120448)",MHC,HDB,143,51,92
Blk 453A Ang Mo Kio Ave 10,"Blk 453A, Ang Mo Kio Ave 10, S(561453)",MHC,HDB,222,38,184
Blk 49 Sims Place,"Blk 49, Sims Place, S(380049)",MHC,HDB,144,66,78
Blk 4A Eunos Crescent,"Blk 4A, Eunos Crescent, S(402004)",MHC,HDB,110,42,68
Blk 4A Jalan Batu,"Blk 4A, Jalan Batu, S(432004)",MHC,HDB,66,36,30
Blk 4A Woodlands Centre Road,"Blk 4A, Woodlands Centre Road, S(731004)",HC,HDB,78,78,0
Blk 502 West  Coast Drive,"Blk 502, West Coast Drive, S(120502)",MK,HDB,40,0,40
Blk 503 West Coast Drive,"Blk 503, West Coast Drive, S(120503)",HC,HDB,80,80,0
Blk 505 Jurong West Street 52,"Blk 505, Jurong West Street 52, S(640505)",MHC,HDB,190,60,130
Blk 50A Marine Terrace,"Blk 50A, Marine Terrace, S(441050)",MHC,HDB,111,24,87
Blk 51 Old Airport Road,"Blk 51, Old Airport Road, S(390051)",MHC,HDB,222,168,54
Blk 511 Bedok North Street 3,"Blk 511, Bedok North Street 3, S(460511)",MHC,HDB,125,42,83
Blk 527 Ang Mo Kio Ave 10,"Blk 527, Ang Mo Kio Ave 10, S(560527)",MHC,HDB,150,50,100
Blk 538 Bedok North Street 3,"Blk 538, Bedok North Street 3, S(460538)",MHC,HDB,124,40,84
Blk 58 New Upper Changi Road,"Blk 58, New Upper Changi Road, S(461058)",MHC,HDB,195,48,147
Blk 6 Tanjong Pagar Plaza,"Blk 6, Tanjong Pagar Plaza, S(081006)",MHC,HDB,104,52,52
Blk 628 Ang Mo Kio Ave 4,"Blk 628, Ang Mo Kio Ave 4, S(560628)",MHC,HDB,218,52,166
Blk 630 Bedok Reservoir Road,"Blk 630, Bedok Reservoir Road, S(470630)",MHC,HDB,111,36,75
Blk 69 Geylang Bahru,"Blk 69, Geylang Bahru, S(330069)",MHC,HDB,211,84,127
Blk 7 Empress Road,"Blk 7, Empress Road, S(260007)",MHC,HDB,108,40,68
Blk 724 Ang Mo Kio Ave 6,"Blk 724, Ang Mo Kio Ave 6, S(560724)",MHC,HDB,123,45,78
Blk 726 Clementi West Street 2,"Blk 726, Clementi West Street 2, S(120726)",MHC,HDB,195,60,135
Blk 74 Toa Payoh Lorong 4,"Blk 74, Lorong 4 Toa Payoh, S(310074)",MHC,HDB,90,10,80
Blk 75 Toa Payoh Lorong 5,"Blk 75, Lorong 5 Toa Payoh, S(310075)",HC,HDB,36,36,0
Blk 79 Redhill Lane,"Blk 79, Redhill Lane, S(150079)",MK,HDB,122,0,122
Blk 79 Telok Blangah Drive,"Blk 79, Telok Blangah Drive, S(100079)",HC,HDB,40,40,0
Blk 80 Circuit Road,"Blk 80, Circuit Road, S(370080)",MHC,HDB,59,16,43
Blk 82 Telok Blangah Drive,"Blk 82, Telok Blangah Drive, S(100082)",MK,HDB,64,0,64
Blk 84 Marine Parade Central,"Blk 84, Marine Parade Central, S(440084)",MHC,HDB,198,55,143
Blk 85 Bedok North Street 4,"Blk 85, Bedok North Street 4, S(460085)",MHC,HDB,214,72,142
Blk 85 Redhill Lane,"Blk 85, Redhill Lane, S(150085)",HC,HDB,96,96,0
Blk 89 Circuit Road,"Blk 89, Circuit Road, S(370089)",MHC,HDB,133,40,93
Blk 90 Whampoa Drive,"Blk 90, Whampoa Drive, S(320090)",MHC,HDB,92,80,12
Blk 93 Toa Payoh Lorong 4,"Blk 93, Lorong 4 Toa Payoh, S(310093)",MHC,HDB,60,28,32
Blks 13/14 Haig Road,"Blk 13/14, Haig Road, S(430013/430014)",MHC,HDB,151,72,79
Blks 160/162 Ang Mo Kio Ave 4,"Blk 160/162, Ang Mo Kio Ave 4, S(560160/560162)",MHC,HDB,124,40,84
Blks 1A/ 2A/ 3A Commonwealth Drive,"Blk 1A/ 2A/ 3A, Commonwealth Drive, S(141001/141002/141003)",HC,HDB,40,40,0
Blks 2 & 3 Changi Village Road,"Blk 2/3, Changi Village Road, S(500002/500003)",MHC,HDB,129,87,42
Blks 20/21 Marsiling Lane,"Blk 20/21, Marsiling Lane, S(730020/730021)",MHC,HDB,164,52,112
Blks 221 A/B Boon Lay Place,"Blk 221A/B, Boon Lay Place, S(641221/642221)",MHC,HDB,166,72,94
Blks 22A/B Havelock Road,"Blk 22A/B, Havelock Road, S(161022/162022)",HC,HDB,30,30,0
Blks 79/79A Circuit Road,"Blk 79/79A, Circuit Road, S(370079/371079)",HC,HDB,106,106,0
Blks 91/92 Whampoa Drive,"Blk 91/92, Whampoa Drive, S(320091/320092)",MHC,HDB,164,52,112
Chinatown Market,"Blk 335, Smith Street, S(050335)",MHC,HDB,703,226,477
Chong Pang Market & Food Centre,"Blk 104/105, Yishun Ring Road, S(760104/760105)",MHC,HDB,179,56,123
Hong Lim Market & Food Centre,"Blk 531A, Upper Cross Street, S(051531)",MHC,HDB,143,103,40
Kovan Market & Food Centre,"Blk 209, Hougang Street 21, S(530209)",MHC,HDB,186,66,120
Pek Kio Market & Food Centre,"Blk 41A, Cambridge Road, S(211041)",MHC,HDB,124,50,74
People's Park Food Centre,"Blk 32, New Market Road, S(050032)",HC,HDB,87,87,0
Tekka Market,"Blk 665, Buffalo Road, S(210665)",MHC,HDB,403,119,284
